month_name,item_name,quantity
April,Pineapple Juice,19
April,Banana Lassi,18
April,Sambar Rice,16
April,Curd Rice,15
April,Apple Juice,13
August,Mutton Sweet Corn Soup,22
August,Mango Lassi,20
August,Sambar Rice,19
August,Banana Lassi,18
August,Grape Juice,18
December,Pineapple Juice,22
December,Banana Lassi,17
December,Sweet Lassi,17
December,Cold Coffee,15
December,Orange Juice,15
February,Sweet Lassi,17
February,Banana Lassi,16
February,Curd Rice,14
February,Roasted Papad,14
February,Masala Papad,12
January,Apple Juice,16
January,Curd Rice,16
January,Banana Lassi,15
January,Sambar Rice,15
January,Chocolate Milkshake,14
July,Mango Lassi,21
July,Chocolate Ice Cream,16
July,Curd Rice,16
July,Grape Juice,16
July,Apple Juice,15
June,Mango Lassi,18
June,Chocolate Ice Cream,16
June,Watermelon Juice,16
June,Steamed Rice,14
June,Curd Rice,13
March,Banana Lassi,19
March,Orange Juice,17
March,Curd [250 Ml],16
March,Pineapple Juice,16
March,Strawberry Milkshake,16
May,Curd Rice,23
May,Banana Lassi,19
May,Roasted Papad,16
May,Steamed Rice,16
May,Rose Milk,15
November,Curd Rice,21
November,Watermelon Juice,17
November,Sweet Lime Juice,16
November,Banana Lassi,14
November,Pomegranate Juice,13
October,Curd Rice,19
October,Mango Milkshake,18
October,Mango Lassi,16
October,Banana Lassi,14
October,Butterscotch Ice Cream,14
September,Curd Rice,18
September,Pineapple Juice,16
September,Grape Juice,15
September,Mango Lassi,15
September,Butter Naan,13
