weekday,item_name,quantity
Friday,Sambar Rice,30
Friday,Pineapple Juice,28
Friday,Strawberry Lassi,25
Monday,Curd Rice,31
Monday,Banana Lassi,25
Monday,Pineapple Juice,21
Saturday,Banana Lassi,33
Saturday,Curd Rice,26
Saturday,Mango Lassi,25
Sunday,Chocolate Ice Cream,32
Sunday,Banana Lassi,29
Sunday,Sweet Lassi,28
Thursday,French Fries,28
Thursday,Curd Rice,27
Thursday,Chocolate Ice Cream,24
Tuesday,Mango Lassi,32
Tuesday,Curd Rice,29
Tuesday,Banana Lassi,28
Wednesday,Curd Rice,37
Wednesday,Banana Lassi,28
Wednesday,Mango Lassi,25
