item_id,item_name,category,veg_flag,price
1,Tandoori Gobi Roll,"Chinese,Indian",Veg,260.0
2,Malai Kofta,"Arabian,North Indian",Veg,228.0
3,Chicken Curry,"Arabian,North Indian",Non-Veg,228.0
4,Veg Clear Soup,"Arabian,North Indian",Veg,128.0
5,Vanilla Milk Shake,"Arabian,North Indian",Veg,89.0
6,Kachumber Salad,"Arabian,North Indian",Veg,90.0
7,Pista Kulfi,Desserts,Veg,104.0
8,Swedish House Mafia Coffee,Desserts,Veg,129.0
9,Cream Of Guest Special Soup,"South Indian,North Indian",Veg,120.0
10,Peas Masala,"South Indian,North Indian",Veg,135.0
11,Extra Potato Masala,"South Indian,North Indian",Veg,59.0
12,White Forest Pastry,"Bakery,Desserts",Non-Veg,50.85
13,Elachi Almonds,"Bakery,Desserts",Veg,241.52
14,Coconut Panacotta,"Bakery,Desserts",Non-Veg,125.0
15,Panini Chicken Mayo Sandwich,Fast Food,Non-Veg,179.0
16,Chicken Corn Cheese Sandwich + Double Omelette Chicken Mayo Sandwich + Chilli Garlic French Fries + Green Apple Crusher,Fast Food,Non-Veg,399.0
17,Tandoori French Fries,Fast Food,Veg,119.0
18,Double Omelette Chicken Tandoori Mayo Sandwich + Blue Curacao Mojito,Fast Food,Non-Veg,230.0
19,Ghee Podi Masala Dosa,"North Indian,Jain",Veg,145.0
20,Paneer Bhurji,"North Indian,Jain",Veg,252.0
21,Green Peas Masala with Bread Butter,"North Indian,Jain",Veg,144.0
22,Sweet corn Soup,"North Indian,Jain",Veg,84.0
23,Tomato Raita,"North Indian,Jain",Veg,96.0
24,Kaju Masala Large,"South Indian,North Indian",Veg,390.0
25,Mango Lassi,"South Indian,North Indian",Veg,175.0
26,Lachha Paratha,"North Indian,Chinese",Veg,90.0
27,Strawberry Classic Shake,"North Indian,Chinese",Veg,180.0
28,Paneer Kothu Parotta,Indian,Veg,160.0
29,Spicy Capsicum Cheese Sandwich,Fast Food,Veg,80.0
30,Brownie Chocolate Cheese Sandwich,Fast Food,Veg,129.0
31,Chicken Makhani,"North Indian,Arabian",Non-Veg,300.0
32,Schezwan Egg Noodles,"North Indian,Arabian",Non-Veg,210.0
33,Mango Milkshake,"North Indian,Arabian",Veg,100.0
34,Kiwi Milkshake,"North Indian,Arabian",Veg,100.0
35,Stick Ice cream  ..,"North Indian,Arabian",Veg,40.0
36,Body Cooler Mocktail,Desserts,Veg,116.0
37,Veg Samosa (3pcs),Desserts,Veg,90.0
38,Ghee Podi Dosai,"South Indian,North Indian",Veg,160.0
39,Gulab Jamun (1 Pc),"South Indian,North Indian",Veg,40.0
40,Gobi Vadakari Tandoori Cheese Sandwich,Fast Food,Veg,110.0
41,Double Omelette Lays Cheese Sandwich,Fast Food,Non-Veg,145.0
42,Panini Mushroom Cheese Sandwich,Fast Food,Veg,130.0
43,Dry Coconut Cookies [200 Gms],"Bakery,Desserts",Veg,80.51
44,Lemon Tart,"Bakery,Desserts",Non-Veg,80.0
45,Cheese Grilled Sandwich,"Beverages,Chinese",Veg,84.0
46,Classic Fish Shawarma Plate,"Beverages,Chinese",Non-Veg,179.0
47,Cold Coffee (350 Ml),"Beverages,Chinese",Veg,94.0
48,Boiled Egg Pasta Cheese Sandwich,Fast Food,Non-Veg,125.0
49,Thousand Island Vadakari Cheese Sandwich,Fast Food,Veg,119.0
50,Pasta Paneer Tandoori Mayo Sandwich,Fast Food,Veg,125.0
51,Orange Mojito,Fast Food,Veg,99.0
52,Strawberry Crusher,Fast Food,Veg,89.0
53,Gobi Fried Rice,Indian,Veg,150.0
54,Fresh Lemon,Indian,Veg,40.0
55,Ginger Lemon,Indian,Veg,50.0
56,Fig,Indian,Veg,80.0
57,Thai Chicken Fried Rice,"North Indian,Arabian",Non-Veg,235.0
58,Chicken Chinese Chop suey,"North Indian,Arabian",Non-Veg,300.0
59,Chocolate Milkshake,"North Indian,Arabian",Veg,100.0
60,Banana Lassi,"North Indian,Arabian",Veg,90.0
61,Mango Krusher,"North Indian,Arabian",Veg,100.0
62,Paneer Labadar,"Chinese,Indian",Veg,440.0
63,Kaadai Tandoori,"North Indian,Arabian",Non-Veg,210.0
64,Kulfi Ice cream,"North Indian,Arabian",Veg,40.0
65,Ginger Lime,"North Indian,Arabian",Veg,40.0
66,Lemon Juice,"North Indian,Arabian",Veg,35.0
67,Thai Pepper Corn Rice,"Chinese,Indian",Veg,600.0
68,Salted Fries,"Chinese,Indian",Veg,340.0
69,Tomato Corn Mayo Sandwich,Fast Food,Veg,109.0
70,Pita Pizza Mayo Sandwich,Fast Food,Veg,134.0
71,Focaccia Chicken Cheese Sandwich,Fast Food,Non-Veg,179.0
72,Green Apple Crusher,Fast Food,Veg,89.0
73,Brownie Chocolate Mango Sandwich,Fast Food,Veg,129.0
74,Papdi Chaat,"Chinese,Indian",Veg,160.0
75,Veg Paneer Fried Rice,"Chinese,Indian",Veg,440.0
76,Boiled Egg Paneer Mayo Sandwich,Fast Food,Non-Veg,135.0
77,Bread Omelette Chicken Tandoori Mayo Sandwich,Fast Food,Non-Veg,159.0
78,Nannari Sharbat,Fast Food,Veg,69.0
79,Mushroom 65,"North Indian,Arabian",Veg,170.0
80,Schezwan Prawns Noodles,"North Indian,Arabian",Non-Veg,300.0
81,Chicken Hyderabadi 65,"North Indian,Arabian",Non-Veg,260.0
82,Paneer Parotta,"Biryani,North Indian",Veg,79.0
83,Strawberry Ice Cream,"Biryani,North Indian",Veg,149.0
84,Curd Rice With Chicken 90,"Biryani,North Indian",Non-Veg,190.0
85,Butter Tandoori Roti,"Chinese,Indian",Veg,80.0
86,Water Bottle 500ml,"Chinese,Indian",Veg,25.0
87,Chilli Chicken,Indian,Non-Veg,240.0
88,Veg Noodles,Indian,Veg,140.0
89,Banana Shake,Indian,Veg,80.0
90,Navrathana Kurma,"South Indian,North Indian",Veg,190.0
91,Pepper Soup,"South Indian,North Indian",Veg,80.0
92,Sambar Idli (2 Pcs) + Masala Dosai (1 Pc),"South Indian,North Indian",Veg,150.0
93,Pista Ice Cream,"South Indian,North Indian",Veg,75.0
94,Mushroom Fried Rice,"North Indian,Jain",Veg,240.0
95,Veg Kolhapuri Small,"South Indian,North Indian",Veg,260.0
96,Poori (2 Pcs),"South Indian,Biryani",Veg,70.0
