date,day_of_week,is_weekend,month,month_name,year,veg_season_tag
2025-01-01,Wednesday,False,1,January,2025,Regular
2025-01-02,Thursday,False,1,January,2025,Regular
2025-01-03,Friday,False,1,January,2025,Regular
2025-01-04,Saturday,True,1,January,2025,Regular
2025-01-05,Sunday,True,1,January,2025,Regular
2025-01-06,Monday,False,1,January,2025,Regular
2025-01-07,Tuesday,False,1,January,2025,Regular
2025-01-08,Wednesday,False,1,January,2025,Regular
2025-01-09,Thursday,False,1,January,2025,Regular
2025-01-10,Friday,False,1,January,2025,Regular
2025-01-11,Saturday,True,1,January,2025,Regular
2025-01-12,Sunday,True,1,January,2025,Regular
2025-01-13,Monday,False,1,January,2025,Regular
2025-01-14,Tuesday,False,1,January,2025,Regular
2025-01-15,Wednesday,False,1,January,2025,Regular
2025-01-16,Thursday,False,1,January,2025,Regular
2025-01-17,Friday,False,1,January,2025,Regular
2025-01-18,Saturday,True,1,January,2025,Regular
2025-01-19,Sunday,True,1,January,2025,Regular
2025-01-20,Monday,False,1,January,2025,Regular
2025-01-21,Tuesday,False,1,January,2025,Regular
2025-01-22,Wednesday,False,1,January,2025,Regular
2025-01-23,Thursday,False,1,January,2025,Regular
2025-01-24,Friday,False,1,January,2025,Regular
2025-01-25,Saturday,True,1,January,2025,Regular
2025-01-26,Sunday,True,1,January,2025,Regular
2025-01-27,Monday,False,1,January,2025,Regular
2025-01-28,Tuesday,False,1,January,2025,Regular
2025-01-29,Wednesday,False,1,January,2025,Regular
2025-01-30,Thursday,False,1,January,2025,Regular
2025-01-31,Friday,False,1,January,2025,Regular
2025-02-01,Saturday,True,2,February,2025,Regular
2025-02-02,Sunday,True,2,February,2025,Regular
2025-02-03,Monday,False,2,February,2025,Regular
2025-02-04,Tuesday,False,2,February,2025,Regular
2025-02-05,Wednesday,False,2,February,2025,Regular
2025-02-06,Thursday,False,2,February,2025,Regular
2025-02-07,Friday,False,2,February,2025,Regular
2025-02-08,Saturday,True,2,February,2025,Regular
2025-02-09,Sunday,True,2,February,2025,Regular
2025-02-10,Monday,False,2,February,2025,Regular
2025-02-11,Tuesday,False,2,February,2025,Regular
2025-02-12,Wednesday,False,2,February,2025,Regular
2025-02-13,Thursday,False,2,February,2025,Regular
2025-02-14,Friday,False,2,February,2025,Regular
2025-02-15,Saturday,True,2,February,2025,Regular
2025-02-16,Sunday,True,2,February,2025,Regular
2025-02-17,Monday,False,2,February,2025,Regular
2025-02-18,Tuesday,False,2,February,2025,Regular
2025-02-19,Wednesday,False,2,February,2025,Regular
2025-02-20,Thursday,False,2,February,2025,Regular
2025-02-21,Friday,False,2,February,2025,Regular
2025-02-22,Saturday,True,2,February,2025,Regular
2025-02-23,Sunday,True,2,February,2025,Regular
2025-02-24,Monday,False,2,February,2025,Regular
2025-02-25,Tuesday,False,2,February,2025,Regular
2025-02-26,Wednesday,False,2,February,2025,Regular
2025-02-27,Thursday,False,2,February,2025,Regular
2025-02-28,Friday,False,2,February,2025,Regular
2025-03-01,Saturday,True,3,March,2025,Regular
2025-03-02,Sunday,True,3,March,2025,Regular
2025-03-03,Monday,False,3,March,2025,Regular
2025-03-04,Tuesday,False,3,March,2025,Regular
2025-03-05,Wednesday,False,3,March,2025,Regular
2025-03-06,Thursday,False,3,March,2025,Regular
2025-03-07,Friday,False,3,March,2025,Regular
2025-03-08,Saturday,True,3,March,2025,Regular
2025-03-09,Sunday,True,3,March,2025,Regular
2025-03-10,Monday,False,3,March,2025,Regular
2025-03-11,Tuesday,False,3,March,2025,Regular
2025-03-12,Wednesday,False,3,March,2025,Regular
2025-03-13,Thursday,False,3,March,2025,Regular
2025-03-14,Friday,False,3,March,2025,Regular
2025-03-15,Saturday,True,3,March,2025,Regular
2025-03-16,Sunday,True,3,March,2025,Regular
2025-03-17,Monday,False,3,March,2025,Regular
2025-03-18,Tuesday,False,3,March,2025,Regular
2025-03-19,Wednesday,False,3,March,2025,Regular
2025-03-20,Thursday,False,3,March,2025,Regular
2025-03-21,Friday,False,3,March,2025,Regular
2025-03-22,Saturday,True,3,March,2025,Regular
2025-03-23,Sunday,True,3,March,2025,Regular
2025-03-24,Monday,False,3,March,2025,Regular
2025-03-25,Tuesday,False,3,March,2025,Regular
2025-03-26,Wednesday,False,3,March,2025,Regular
2025-03-27,Thursday,False,3,March,2025,Regular
2025-03-28,Friday,False,3,March,2025,Regular
2025-03-29,Saturday,True,3,March,2025,Regular
2025-03-30,Sunday,True,3,March,2025,Chaitra Navratri
2025-03-31,Monday,False,3,March,2025,Chaitra Navratri
2025-04-01,Tuesday,False,4,April,2025,Chaitra Navratri
2025-04-02,Wednesday,False,4,April,2025,Chaitra Navratri
2025-04-03,Thursday,False,4,April,2025,Chaitra Navratri
2025-04-04,Friday,False,4,April,2025,Chaitra Navratri
2025-04-05,Saturday,True,4,April,2025,Chaitra Navratri
2025-04-06,Sunday,True,4,April,2025,Chaitra Navratri
2025-04-07,Monday,False,4,April,2025,Chaitra Navratri
2025-04-08,Tuesday,False,4,April,2025,Regular
2025-04-09,Wednesday,False,4,April,2025,Regular
2025-04-10,Thursday,False,4,April,2025,Regular
2025-04-11,Friday,False,4,April,2025,Regular
2025-04-12,Saturday,True,4,April,2025,Regular
2025-04-13,Sunday,True,4,April,2025,Regular
2025-04-14,Monday,False,4,April,2025,Regular
2025-04-15,Tuesday,False,4,April,2025,Regular
2025-04-16,Wednesday,False,4,April,2025,Regular
2025-04-17,Thursday,False,4,April,2025,Regular
2025-04-18,Friday,False,4,April,2025,Regular
2025-04-19,Saturday,True,4,April,2025,Regular
2025-04-20,Sunday,True,4,April,2025,Regular
2025-04-21,Monday,False,4,April,2025,Regular
2025-04-22,Tuesday,False,4,April,2025,Regular
2025-04-23,Wednesday,False,4,April,2025,Regular
2025-04-24,Thursday,False,4,April,2025,Regular
2025-04-25,Friday,False,4,April,2025,Regular
2025-04-26,Saturday,True,4,April,2025,Regular
2025-04-27,Sunday,True,4,April,2025,Regular
2025-04-28,Monday,False,4,April,2025,Regular
2025-04-29,Tuesday,False,4,April,2025,Regular
2025-04-30,Wednesday,False,4,April,2025,Regular
2025-05-01,Thursday,False,5,May,2025,Regular
2025-05-02,Friday,False,5,May,2025,Regular
2025-05-03,Saturday,True,5,May,2025,Regular
2025-05-04,Sunday,True,5,May,2025,Regular
2025-05-05,Monday,False,5,May,2025,Regular
2025-05-06,Tuesday,False,5,May,2025,Regular
2025-05-07,Wednesday,False,5,May,2025,Regular
2025-05-08,Thursday,False,5,May,2025,Regular
2025-05-09,Friday,False,5,May,2025,Regular
2025-05-10,Saturday,True,5,May,2025,Regular
2025-05-11,Sunday,True,5,May,2025,Regular
2025-05-12,Monday,False,5,May,2025,Regular
2025-05-13,Tuesday,False,5,May,2025,Regular
2025-05-14,Wednesday,False,5,May,2025,Regular
2025-05-15,Thursday,False,5,May,2025,Regular
2025-05-16,Friday,False,5,May,2025,Regular
2025-05-17,Saturday,True,5,May,2025,Regular
2025-05-18,Sunday,True,5,May,2025,Regular
2025-05-19,Monday,False,5,May,2025,Regular
2025-05-20,Tuesday,False,5,May,2025,Regular
2025-05-21,Wednesday,False,5,May,2025,Regular
2025-05-22,Thursday,False,5,May,2025,Regular
2025-05-23,Friday,False,5,May,2025,Regular
2025-05-24,Saturday,True,5,May,2025,Regular
2025-05-25,Sunday,True,5,May,2025,Regular
2025-05-26,Monday,False,5,May,2025,Regular
2025-05-27,Tuesday,False,5,May,2025,Regular
2025-05-28,Wednesday,False,5,May,2025,Regular
2025-05-29,Thursday,False,5,May,2025,Regular
2025-05-30,Friday,False,5,May,2025,Regular
2025-05-31,Saturday,True,5,May,2025,Regular
2025-06-01,Sunday,True,6,June,2025,Regular
2025-06-02,Monday,False,6,June,2025,Regular
2025-06-03,Tuesday,False,6,June,2025,Regular
2025-06-04,Wednesday,False,6,June,2025,Regular
2025-06-05,Thursday,False,6,June,2025,Regular
2025-06-06,Friday,False,6,June,2025,Regular
2025-06-07,Saturday,True,6,June,2025,Regular
2025-06-08,Sunday,True,6,June,2025,Regular
2025-06-09,Monday,False,6,June,2025,Regular
2025-06-10,Tuesday,False,6,June,2025,Regular
2025-06-11,Wednesday,False,6,June,2025,Regular
2025-06-12,Thursday,False,6,June,2025,Regular
2025-06-13,Friday,False,6,June,2025,Regular
2025-06-14,Saturday,True,6,June,2025,Regular
2025-06-15,Sunday,True,6,June,2025,Regular
2025-06-16,Monday,False,6,June,2025,Regular
2025-06-17,Tuesday,False,6,June,2025,Regular
2025-06-18,Wednesday,False,6,June,2025,Regular
2025-06-19,Thursday,False,6,June,2025,Regular
2025-06-20,Friday,False,6,June,2025,Regular
2025-06-21,Saturday,True,6,June,2025,Regular
2025-06-22,Sunday,True,6,June,2025,Regular
2025-06-23,Monday,False,6,June,2025,Regular
2025-06-24,Tuesday,False,6,June,2025,Regular
2025-06-25,Wednesday,False,6,June,2025,Regular
2025-06-26,Thursday,False,6,June,2025,Regular
