order_item_id,order_id,item_id,quantity,unit_price,line_total
1,100001,1,1,260.0,260.0
2,100002,2,1,228.0,228.0
3,100002,3,1,228.0,228.0
4,100002,4,1,128.0,128.0
5,100002,5,1,89.0,89.0
6,100002,6,1,90.0,90.0
7,100003,7,1,104.0,104.0
8,100003,8,1,129.0,129.0
9,100004,9,1,120.0,120.0
10,100004,10,2,135.0,270.0
11,100004,11,1,59.0,59.0
12,100005,12,1,50.85,50.85
13,100005,13,1,241.52,241.52
14,100005,14,2,125.0,250.0
15,100006,15,1,179.0,179.0
16,100006,16,1,399.0,399.0
17,100006,17,1,119.0,119.0
18,100006,18,1,230.0,230.0
19,100007,19,1,145.0,145.0
20,100007,20,1,252.0,252.0
21,100007,21,1,144.0,144.0
22,100007,22,1,84.0,84.0
23,100007,23,1,96.0,96.0
24,100008,24,1,390.0,390.0
25,100008,25,1,175.0,175.0
26,100009,26,1,90.0,90.0
27,100009,27,1,180.0,180.0
28,100010,28,1,160.0,160.0
29,100011,29,1,80.0,80.0
30,100011,30,1,129.0,129.0
31,100012,31,1,300.0,300.0
32,100012,32,1,210.0,210.0
33,100012,33,1,100.0,100.0
34,100012,34,1,100.0,100.0
35,100012,35,1,40.0,40.0
36,100013,36,1,116.0,116.0
37,100013,37,1,90.0,90.0
38,100014,38,1,160.0,160.0
39,100014,39,1,40.0,40.0
40,100015,40,1,110.0,110.0
41,100015,41,1,145.0,145.0
42,100015,42,1,130.0,130.0
43,100016,43,1,80.51,80.51
44,100016,44,1,80.0,80.0
45,100017,45,1,84.0,84.0
46,100017,46,1,179.0,179.0
47,100017,47,2,94.0,188.0
48,100018,48,1,125.0,125.0
49,100018,49,1,119.0,119.0
50,100018,50,1,125.0,125.0
51,100018,51,2,99.0,198.0
52,100018,52,2,89.0,178.0
53,100019,53,1,150.0,150.0
54,100019,54,2,40.0,80.0
55,100019,55,1,50.0,50.0
56,100019,56,1,80.0,80.0
57,100021,57,1,235.0,235.0
58,100021,58,1,300.0,300.0
59,100021,59,1,100.0,100.0
60,100021,60,1,90.0,90.0
61,100021,61,1,100.0,100.0
62,100022,62,1,440.0,440.0
63,100023,63,1,210.0,210.0
64,100023,64,1,40.0,40.0
65,100023,65,2,40.0,80.0
66,100023,66,1,35.0,35.0
67,100024,67,1,600.0,600.0
68,100024,68,2,340.0,680.0
69,100025,69,1,109.0,109.0
70,100025,70,2,134.0,268.0
71,100025,71,1,179.0,179.0
72,100025,72,1,89.0,89.0
73,100025,73,1,129.0,129.0
74,100026,74,1,160.0,160.0
75,100026,75,1,440.0,440.0
76,100027,76,1,135.0,135.0
77,100027,77,1,159.0,159.0
78,100027,78,1,69.0,69.0
79,100028,79,1,170.0,170.0
80,100028,80,1,300.0,300.0
81,100028,81,1,260.0,260.0
82,100029,82,1,79.0,79.0
83,100029,83,2,149.0,298.0
84,100029,84,1,190.0,190.0
85,100030,85,1,80.0,80.0
86,100030,86,1,25.0,25.0
87,100031,87,1,240.0,240.0
88,100031,88,1,140.0,140.0
89,100031,89,1,80.0,80.0
90,100032,90,1,190.0,190.0
91,100032,91,1,80.0,80.0
92,100032,92,1,150.0,150.0
93,100032,93,1,75.0,75.0
94,100033,94,1,240.0,240.0
95,100034,95,1,260.0,260.0
96,100035,96,1,70.0,70.0
97,100035,97,1,70.0,70.0
98,100035,98,1,220.0,220.0
99,100035,99,1,120.0,120.0
100,100035,100,1,285.0,285.0
101,100035,101,1,80.0,80.0
102,100037,102,1,400.0,400.0
103,100037,103,1,340.0,340.0
104,100037,104,1,180.0,180.0
105,100037,105,1,520.0,520.0
106,100037,106,1,380.0,380.0
107,100038,107,1,145.0,145.0
108,100038,108,1,99.0,99.0
109,100039,109,1,104.0,104.0
110,100040,110,1,299.0,299.0
111,100041,111,1,135.0,135.0
112,100041,112,1,210.0,210.0
113,100041,23,1,79.0,79.0
114,100041,113,1,79.0,79.0
115,100042,114,1,230.0,230.0
116,100042,115,1,250.0,250.0
117,100043,116,2,450.0,900.0
118,100043,117,1,59.32,59.32
119,100043,118,1,80.51,80.51
120,100043,119,1,105.93,105.93
121,100044,120,1,129.0,129.0
122,100045,121,1,95.0,95.0
123,100045,122,2,233.0,466.0
124,100045,123,1,115.0,115.0
125,100045,124,1,130.0,130.0
126,100046,125,1,325.0,325.0
127,100046,126,1,130.0,130.0
128,100046,127,1,325.0,325.0
129,100046,128,2,120.0,240.0
130,100046,129,1,145.0,145.0
131,100046,59,1,100.0,100.0
132,100047,130,1,165.0,165.0
133,100047,131,1,94.0,94.0
134,100048,132,1,100.0,100.0
135,100048,133,1,59.0,59.0
136,100049,134,1,250.0,250.0
137,100049,135,1,80.0,80.0
138,100050,136,1,210.0,210.0
139,100050,137,1,80.0,80.0
140,100050,34,1,100.0,100.0
141,100051,138,1,348.0,348.0
142,100052,139,1,126.0,126.0
143,100052,140,1,96.0,96.0
144,100053,141,1,140.0,140.0
145,100053,142,1,210.0,210.0
146,100054,143,1,94.0,94.0
147,100054,60,1,99.0,99.0
148,100055,144,1,260.0,260.0
149,100056,145,1,155.0,155.0
150,100057,146,1,70.0,70.0
151,100057,147,2,130.0,260.0
152,100058,148,1,130.0,130.0
153,100058,56,1,80.0,80.0
154,100058,149,1,110.0,110.0
155,100059,150,1,140.0,140.0
156,100060,151,1,90.0,90.0
157,100060,113,1,79.0,79.0
158,100061,152,1,165.0,165.0
159,100061,153,1,105.0,105.0
160,100061,154,2,51.0,102.0
161,100061,155,1,99.0,99.0
162,100062,12,1,50.85,50.85
163,100062,156,1,63.56,63.56
164,100062,157,2,76.27,152.54
165,100063,158,1,290.0,290.0
166,100063,159,1,140.0,140.0
167,100063,160,1,90.0,90.0
168,100064,161,2,105.0,210.0
169,100064,162,2,111.0,222.0
170,100064,163,1,60.0,60.0
171,100065,164,1,264.0,264.0
172,100066,165,1,229.0,229.0
173,100067,166,1,220.0,220.0
174,100067,167,1,110.0,110.0
175,100067,54,1,40.0,40.0
176,100067,149,1,110.0,110.0
177,100068,168,1,105.0,105.0
178,100068,169,1,80.0,80.0
179,100068,170,1,25.0,25.0
180,100069,171,2,298.0,596.0
181,100069,172,1,178.0,178.0
182,100069,60,1,70.0,70.0
183,100070,173,1,420.0,420.0
184,100071,174,1,349.0,349.0
185,100071,175,1,139.0,139.0
186,100073,176,1,129.0,129.0
187,100074,177,1,130.0,130.0
188,100074,178,1,100.0,100.0
189,100074,179,1,180.0,180.0
190,100074,163,1,80.0,80.0
191,100075,180,1,95.0,95.0
192,100075,181,1,124.0,124.0
193,100076,182,1,285.0,285.0
194,100076,183,1,325.0,325.0
195,100076,163,1,81.0,81.0
196,100076,184,1,115.0,115.0
197,100077,185,2,420.0,840.0
198,100078,186,1,900.0,900.0
199,100079,187,2,190.0,380.0
200,100079,188,1,285.0,285.0
201,100079,189,2,149.0,298.0
202,100080,190,1,160.0,160.0
