order_id,customer_id,restaurant_id,order_date,order_time_slot,veg_season_tag,is_veg_order,item_count,gross_amount,discount_pct,discount_amount,delivery_fee,final_amount,delivery_time_min,rating_given
100001,1628,4,2025-01-01,Afternoon,Regular,1,1,260.0,0,0.0,30.0,290.0,27,5.0
100002,1590,11,2025-01-01,Night,Regular,0,5,763.0,10,76.3,0.0,686.7,35,4.0
100003,1529,13,2025-01-01,Night,Regular,1,2,233.0,0,0.0,30.0,263.0,30,4.0
100004,957,9,2025-01-01,Afternoon,Regular,1,3,449.0,10,44.9,0.0,404.1,42,5.0
100005,1832,6,2025-01-01,Afternoon,Regular,0,3,542.37,10,54.24,0.0,488.13,24,5.0
100006,2076,5,2025-01-01,Afternoon,Regular,0,4,927.0,10,92.7,0.0,834.3,27,5.0
100007,1196,10,2025-01-01,Morning,Regular,1,5,721.0,10,72.1,0.0,648.9,24,4.0
100008,1754,1,2025-01-01,Evening,Regular,1,2,565.0,10,56.5,0.0,508.5,34,5.0
100009,598,8,2025-01-01,Evening,Regular,1,2,270.0,0,0.0,30.0,300.0,27,5.0
100010,1267,15,2025-01-01,Evening,Regular,1,1,160.0,0,0.0,30.0,190.0,37,4.0
100011,1692,5,2025-01-01,Morning,Regular,1,2,209.0,0,0.0,30.0,239.0,24,5.0
100012,880,3,2025-01-01,Night,Regular,0,5,750.0,10,75.0,0.0,675.0,29,3.0
100013,1077,13,2025-01-01,Night,Regular,1,2,206.0,0,0.0,30.0,236.0,27,4.0
100014,2048,1,2025-01-01,Morning,Regular,1,2,200.0,0,0.0,30.0,230.0,30,5.0
100015,417,5,2025-01-01,Afternoon,Regular,0,3,385.0,0,0.0,0.0,385.0,39,5.0
100016,1800,6,2025-01-01,Afternoon,Regular,0,2,160.51,0,0.0,30.0,190.51,45,4.0
100017,435,2,2025-01-01,Afternoon,Regular,0,3,451.0,10,45.1,0.0,405.9,26,5.0
100018,1693,5,2025-01-01,Evening,Regular,0,5,745.0,10,74.5,0.0,670.5,41,4.0
100019,454,15,2025-01-01,Afternoon,Regular,1,4,360.0,0,0.0,0.0,360.0,46,5.0
100021,1692,3,2025-01-01,Afternoon,Regular,0,5,825.0,10,82.5,0.0,742.5,41,4.0
100022,813,4,2025-01-01,Afternoon,Regular,1,1,440.0,10,44.0,0.0,396.0,43,4.0
100023,2115,3,2025-01-01,Afternoon,Regular,0,4,365.0,0,0.0,0.0,365.0,21,4.0
100024,454,4,2025-01-01,Afternoon,Regular,1,2,1280.0,10,128.0,0.0,1152.0,36,5.0
100025,612,5,2025-01-01,Afternoon,Regular,0,5,774.0,10,77.4,0.0,696.6,24,5.0
100026,223,4,2025-01-01,Afternoon,Regular,1,2,600.0,10,60.0,0.0,540.0,35,5.0
100027,454,5,2025-01-01,Evening,Regular,0,3,363.0,0,0.0,0.0,363.0,27,4.0
100028,1361,3,2025-01-01,Afternoon,Regular,0,3,730.0,10,73.0,0.0,657.0,35,4.0
100029,1056,7,2025-01-01,Afternoon,Regular,0,3,567.0,10,56.7,0.0,510.3,34,5.0
100030,2017,4,2025-01-01,Afternoon,Regular,1,2,105.0,0,0.0,30.0,135.0,19,4.0
100031,1396,15,2025-01-01,Morning,Regular,0,3,460.0,10,46.0,0.0,414.0,38,3.0
100032,1267,14,2025-01-01,Afternoon,Regular,1,4,495.0,10,49.5,0.0,445.5,33,4.0
100033,1376,10,2025-01-01,Afternoon,Regular,1,1,240.0,0,0.0,30.0,270.0,20,5.0
100034,117,1,2025-01-01,Morning,Regular,1,1,260.0,0,0.0,30.0,290.0,28,4.0
100035,509,12,2025-01-01,Night,Regular,0,6,845.0,10,84.5,0.0,760.5,31,5.0
100037,1164,4,2025-01-01,Night,Regular,1,5,1820.0,10,182.0,0.0,1638.0,42,4.0
100038,902,5,2025-01-01,Evening,Regular,0,2,244.0,0,0.0,30.0,274.0,19,4.0
