order_id,customer_id,order_date,order_time,restaurant,subcity,cuisine,item,price,quantity,veg_or_non_veg
100001,CUST01881,2025-01-04,14:44:00,THE NEW BOX,Purasawalkam,"Chinese,Indian",Tandoori Gobi Roll,260.0,1,Veg
100002,CUST01839,2025-06-21,17:03:00,Liza Restaurant (Halal),Purasawalkam,"Arabian,North Indian",Malai Kofta,228.0,1,Veg
100002,CUST01839,2025-06-21,17:03:00,Liza Restaurant (Halal),Purasawalkam,"Arabian,North Indian",Chicken Curry,228.0,1,Non-veg
100002,CUST01839,2025-06-21,17:03:00,Liza Restaurant (Halal),Purasawalkam,"Arabian,North Indian",Veg Clear Soup,128.0,1,Veg
100002,CUST01839,2025-06-21,17:03:00,Liza Restaurant (Halal),Purasawalkam,"Arabian,North Indian",Vanilla Milk Shake,89.0,1,Veg
100002,CUST01839,2025-06-21,17:03:00,Liza Restaurant (Halal),Purasawalkam,"Arabian,North Indian",Kachumber Salad,90.0,1,Veg
100003,CUST01770,2025-06-17,14:38:00,Lassi Coruscoa,Purasawalkam,Desserts,Pista Kulfi,104.0,1,Veg
100003,CUST01770,2025-06-17,14:38:00,Lassi Coruscoa,Purasawalkam,Desserts,Swedish House Mafia Coffee,129.0,1,Veg
100004,CUST01121,2025-02-22,22:58:00,Guest Hotel,Purasawalkam,"South Indian,North Indian",Cream Of Guest Special Soup,120.0,1,Veg
100004,CUST01121,2025-02-22,22:58:00,Guest Hotel,Purasawalkam,"South Indian,North Indian",Peas Masala,135.0,2,Veg
100004,CUST01121,2025-02-22,22:58:00,Guest Hotel,Purasawalkam,"South Indian,North Indian",Extra Potato Masala,59.0,1,Veg
100005,CUST02114,2025-05-11,22:28:00,PARFAIT CAKES N BAKES,Purasawalkam,"Bakery,Desserts",White Forest Pastry,50.85,1,Non-veg
100005,CUST02114,2025-05-11,22:28:00,PARFAIT CAKES N BAKES,Purasawalkam,"Bakery,Desserts",Elachi Almonds,241.52,1,Veg
100005,CUST02114,2025-05-11,22:28:00,PARFAIT CAKES N BAKES,Purasawalkam,"Bakery,Desserts",Coconut Panacotta,125.0,2,Non-veg
100006,CUST02390,2025-01-13,20:01:00,Royal Sandwich,Purasawalkam,Fast Food,Panini Chicken Mayo Sandwich,179.0,1,Non-veg
100006,CUST02390,2025-01-13,20:01:00,Royal Sandwich,Purasawalkam,Fast Food,Chicken Corn Cheese Sandwich + Double Omelette Chicken Mayo Sandwich + Chilli Garlic French Fries + Green Apple Crusher,399.0,1,Non-veg
100006,CUST02390,2025-01-13,20:01:00,Royal Sandwich,Purasawalkam,Fast Food,Tandoori French Fries,119.0,1,Veg
100006,CUST02390,2025-01-13,20:01:00,Royal Sandwich,Purasawalkam,Fast Food,Double Omelette Chicken Tandoori Mayo Sandwich + Blue Curacao Mojito,230.0,1,Non-veg
100007,CUST01383,2025-03-26,15:22:00,Hotel Shiva Sagar,Purasawalkam,"North Indian,Jain",Ghee Podi Masala Dosa,145.0,1,Veg
100007,CUST01383,2025-03-26,15:22:00,Hotel Shiva Sagar,Purasawalkam,"North Indian,Jain",Paneer Bhurji,252.0,1,Veg
100007,CUST01383,2025-03-26,15:22:00,Hotel Shiva Sagar,Purasawalkam,"North Indian,Jain",Green Peas Masala with Bread Butter,144.0,1,Veg
100007,CUST01383,2025-03-26,15:22:00,Hotel Shiva Sagar,Purasawalkam,"North Indian,Jain",Sweet corn Soup,84.0,1,Veg
100007,CUST01383,2025-03-26,15:22:00,Hotel Shiva Sagar,Purasawalkam,"North Indian,Jain",Tomato Raita,96.0,1,Veg
100008,CUST02028,2025-06-22,14:04:00,Sangeetha Veg Restaurant,Poonamallee,"South Indian,North Indian",Kaju Masala Large,390.0,1,Veg
100008,CUST02028,2025-06-22,14:04:00,Sangeetha Veg Restaurant,Poonamallee,"South Indian,North Indian",Mango Lassi,175.0,1,Veg
100009,CUST00701,2025-05-31,18:12:00,Masaledaar Desi Rasoi,Purasawalkam,"North Indian,Chinese",Lachha Paratha,90.0,1,Veg
100009,CUST00701,2025-05-31,18:12:00,Masaledaar Desi Rasoi,Purasawalkam,"North Indian,Chinese",Strawberry Classic Shake,180.0,1,Veg
100010,CUST01465,2025-07-19,15:48:00,LAKSHMI RESTAURANT,Poonamallee,Indian,Paneer Kothu Parotta,160.0,1,Veg
100011,CUST01955,2025-05-12,08:15:00,Royal Sandwich,Purasawalkam,Fast Food,Spicy Capsicum Cheese Sandwich,80.0,1,Veg
100011,CUST01955,2025-05-12,08:15:00,Royal Sandwich,Purasawalkam,Fast Food,Brownie Chocolate Cheese Sandwich,129.0,1,Veg
100012,CUST01026,2025-04-24,18:28:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Chicken Makhani,300.0,1,Non-veg
100012,CUST01026,2025-04-24,18:28:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Schezwan Egg Noodles,210.0,1,Non-veg
100012,CUST01026,2025-04-24,18:28:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Mango Milkshake,100.0,1,Veg
100012,CUST01026,2025-04-24,18:28:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Kiwi Milkshake,100.0,1,Veg
100012,CUST01026,2025-04-24,18:28:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Stick Ice cream  ..,40.0,1,Veg
100013,CUST01251,2025-07-01,09:20:00,Lassi Coruscoa,Purasawalkam,Desserts,Body Cooler Mocktail,116.0,1,Veg
100013,CUST01251,2025-07-01,09:20:00,Lassi Coruscoa,Purasawalkam,Desserts,Veg Samosa (3pcs),90.0,1,Veg
100014,CUST02357,2025-05-31,20:20:00,Sangeetha Veg Restaurant,Poonamallee,"South Indian,North Indian",Ghee Podi Dosai,160.0,1,Veg
100014,CUST02357,2025-05-31,20:20:00,Sangeetha Veg Restaurant,Poonamallee,"South Indian,North Indian",Gulab Jamun (1 Pc),40.0,1,Veg
100015,CUST00490,2025-04-09,08:40:00,Royal Sandwich,Purasawalkam,Fast Food,Gobi Vadakari Tandoori Cheese Sandwich,110.0,1,Veg
100015,CUST00490,2025-04-09,08:40:00,Royal Sandwich,Purasawalkam,Fast Food,Double Omelette Lays Cheese Sandwich,145.0,1,Non-veg
100015,CUST00490,2025-04-09,08:40:00,Royal Sandwich,Purasawalkam,Fast Food,Panini Mushroom Cheese Sandwich,130.0,1,Veg
100016,CUST02079,2025-03-21,13:27:00,PARFAIT CAKES N BAKES,Purasawalkam,"Bakery,Desserts",Dry Coconut Cookies [200 Gms],80.51,1,Veg
100016,CUST02079,2025-03-21,13:27:00,PARFAIT CAKES N BAKES,Purasawalkam,"Bakery,Desserts",Lemon Tart,80.0,1,Non-veg
100017,CUST00509,2025-01-25,10:04:00,Victuals,Poonamallee,"Beverages,Chinese",Cheese Grilled Sandwich,84.0,1,Veg
100017,CUST00509,2025-01-25,10:04:00,Victuals,Poonamallee,"Beverages,Chinese",Classic Fish Shawarma Plate,179.0,1,Non-veg
100017,CUST00509,2025-01-25,10:04:00,Victuals,Poonamallee,"Beverages,Chinese",Cold Coffee (350 Ml),94.0,2,Veg
100018,CUST01956,2025-03-16,19:55:00,Royal Sandwich,Purasawalkam,Fast Food,Boiled Egg Pasta Cheese Sandwich,125.0,1,Non-veg
100018,CUST01956,2025-03-16,19:55:00,Royal Sandwich,Purasawalkam,Fast Food,Thousand Island Vadakari Cheese Sandwich,119.0,1,Veg
100018,CUST01956,2025-03-16,19:55:00,Royal Sandwich,Purasawalkam,Fast Food,Pasta Paneer Tandoori Mayo Sandwich,125.0,1,Veg
100018,CUST01956,2025-03-16,19:55:00,Royal Sandwich,Purasawalkam,Fast Food,Orange Mojito,99.0,2,Veg
100018,CUST01956,2025-03-16,19:55:00,Royal Sandwich,Purasawalkam,Fast Food,Strawberry Crusher,89.0,2,Veg
100019,CUST00532,2025-03-30,15:43:00,LAKSHMI RESTAURANT,Poonamallee,Indian,Gobi Fried Rice,150.0,1,Veg
100019,CUST00532,2025-03-30,15:43:00,LAKSHMI RESTAURANT,Poonamallee,Indian,Fresh Lemon,40.0,2,Veg
100019,CUST00532,2025-03-30,15:43:00,LAKSHMI RESTAURANT,Poonamallee,Indian,Ginger Lemon,50.0,1,Veg
100019,CUST00532,2025-03-30,15:43:00,LAKSHMI RESTAURANT,Poonamallee,Indian,Fig,80.0,1,Veg
100020,CUST00921,2025-07-13,16:10:00,EXPRESS FOOD COURT,Poonamallee,"Fast Food,North Indian",Barbecue Baby Corn Sandwich,84.0,1,Veg
100020,CUST00921,2025-07-13,16:10:00,EXPRESS FOOD COURT,Poonamallee,"Fast Food,North Indian",Crispy Corn Fried Momos (5 Pcs),109.0,1,Veg
100020,CUST00921,2025-07-13,16:10:00,EXPRESS FOOD COURT,Poonamallee,"Fast Food,North Indian",Guava Mojito (350 Ml),104.0,1,Veg
100020,CUST00921,2025-07-13,16:10:00,EXPRESS FOOD COURT,Poonamallee,"Fast Food,North Indian",Spicy Sweet Corn Sandwich,84.0,1,Veg
100021,CUST01955,2025-03-25,12:18:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Thai Chicken Fried Rice,235.0,1,Non-veg
100021,CUST01955,2025-03-25,12:18:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Chicken Chinese Chop suey,300.0,1,Non-veg
100021,CUST01955,2025-03-25,12:18:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Chocolate Milkshake,100.0,1,Veg
100021,CUST01955,2025-03-25,12:18:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Banana Lassi,90.0,1,Veg
100021,CUST01955,2025-03-25,12:18:00,Taj Restaurant,Poonamallee,"North Indian,Arabian",Mango Krusher,100.0,1,Veg
