item_id,item_name,category,veg_flag,price,combo_group,substitute_group
1,Paneer Paratha Roll,Curry,Veg,150.0,curry,curry
2,Falafel Roll,Sides,Veg,150.0,sides,sides
3,Hummus Falafel,Sides,Veg,150.0,sides,sides
4,Veg Shawarma Roll,Sides,Veg,150.0,sides,sides
5,Chicken Tikka Rumali Roll,Starter,Non-Veg,150.0,starter,starter
6,Hummus Chicken Shawarma,Sides,Non-Veg,150.0,sides,sides
7,Mexican Chicken Shawarma Roll,Sides,Non-Veg,150.0,sides,sides
8,Mutton Laham Tawas Roll,Sides,Non-Veg,150.0,sides,sides
9,Chicken Shawarma Roll,Sides,Non-Veg,150.0,sides,sides
10,Chicken Shawarma Plate,Sides,Non-Veg,150.0,sides,sides
11,Special Shawarma Plate,Sides,Non-Veg,150.0,sides,sides
12,Chicken Kizhi Paratha,Sides,Non-Veg,150.0,sides,sides
13,Mutton Kizhi Paratha,Sides,Non-Veg,150.0,sides,sides
14,Paneer Tikka (8pcs),Curry,Veg,150.0,curry,curry
15,Aloo Gobi Tandoori,Sides,Veg,150.0,sides,sides
16,Mushroom Tikka,Starter,Veg,150.0,starter,starter
17,Chicken Kalimirchi Kebab,Starter,Non-Veg,150.0,starter,starter
18,Chicken Tikka (8pcs),Starter,Non-Veg,150.0,starter,starter
19,Chicken Seekh Kebab (8pcs),Starter,Non-Veg,150.0,starter,starter
20,Paneer Hariyali Tikka (8pcs),Curry,Veg,150.0,curry,curry
21,Fish Tikka (8pcs),Starter,Non-Veg,150.0,starter,starter
22,Chicken Reshmi Kebab (8pcs),Starter,Non-Veg,150.0,starter,starter
23,Chicken Pudina Tikka (8pcs),Starter,Non-Veg,150.0,starter,starter
24,Chicken Malai Kebab (8 pcs),Starter,Non-Veg,150.0,starter,starter
25,Tandoori Chicken (Half)-4 pcs,Sides,Non-Veg,150.0,sides,sides
26,Tandoori Chicken (Full)-8 pcs,Sides,Non-Veg,150.0,sides,sides
27,Zaitoon Special Seekh Kebab,Starter,Non-Veg,150.0,starter,starter
28,Aloo Gobi,Sides,Veg,150.0,sides,sides
29,Aloo Jeera,Sides,Veg,150.0,sides,sides
30,Tomato Green Peas Masala,Curry,Veg,150.0,curry,curry
31,Veg Kadai,Sides,Veg,150.0,sides,sides
32,Chana Masala,Curry,Veg,150.0,curry,curry
33,Mushroom Masala,Curry,Veg,150.0,curry,curry
34,Paneer Butter Masala,Curry,Veg,150.0,curry,curry
35,Paneer Kadai Masala,Curry,Veg,150.0,curry,curry
36,Palak Paneer,Curry,Veg,150.0,curry,curry
37,Paneer Tikka Masala,Curry,Veg,150.0,curry,curry
38,Dal Fry,Curry,Veg,150.0,curry,curry
39,Dal Tadka,Curry,Veg,150.0,curry,curry
40,Chicken Kadai,Sides,Non-Veg,150.0,sides,sides
41,Butter Chicken Masala,Curry,Non-Veg,150.0,curry,curry
42,Chicken Xacuti,Sides,Non-Veg,150.0,sides,sides
43,Chicken Tikka Masala,Curry,Non-Veg,150.0,curry,curry
44,Chicken Guldasta,Sides,Non-Veg,150.0,sides,sides
45,Mutton Rogan Josh,Sides,Non-Veg,150.0,sides,sides
46,Mutton Kadai,Sides,Non-Veg,150.0,sides,sides
47,Mutton Pepper Masala,Curry,Non-Veg,150.0,curry,curry
48,Mutton Keema Hyderabadi,Sides,Non-Veg,150.0,sides,sides
49,Mutton Bhuna,Sides,Non-Veg,150.0,sides,sides
50,Egg Biryani,Biryani,Egg,150.0,biryani,biryani
51,Chicken Dum Biryani,Biryani,Non-Veg,150.0,biryani,biryani
52,Mutton Dum Biryani,Biryani,Non-Veg,150.0,biryani,biryani
53,Fish Biryani,Biryani,Non-Veg,150.0,biryani,biryani
54,Prawns Biryani,Biryani,Non-Veg,150.0,biryani,biryani
55,Bucket Biryani-Chicken (Large),Biryani,Non-Veg,150.0,biryani,biryani
56,Veg Pulao,Rice,Veg,150.0,rice,rice
57,Curd Rice,Biryani,Veg,150.0,biryani,biryani
58,Jeera Rice,Biryani,Veg,150.0,biryani,biryani
59,Cheesy Kunafa,Sides,Veg,150.0,sides,sides
60,Cream of Chicken Soup,Sides,Non-Veg,150.0,sides,sides
61,Chicken Hot & Sour Soup,Sides,Non-Veg,150.0,sides,sides
62,Crab Soup,Sides,Non-Veg,150.0,sides,sides
63,Zaitoon Special Non Veg Soup,Sides,Non-Veg,150.0,sides,sides
64,Tandoori Non Veg Platter (Full),Sides,Non-Veg,150.0,sides,sides
65,Chicken Tikka Platter,Starter,Non-Veg,150.0,starter,starter
66,Dragon Chicken (Dry),Sides,Non-Veg,150.0,sides,sides
67,Chicken Lollipop (8 Pcs),Sides,Non-Veg,150.0,sides,sides
68,Zaitoon Chicken Dry fry,Starter,Non-Veg,150.0,starter,starter
69,Veg Fried Rice,Rice,Veg,150.0,rice,rice
70,Veg Noodles,Chinese,Non-Veg,150.0,chinese,chinese
71,Veg Cheese Ball (8 Pcs),Sides,Veg,150.0,sides,sides
72,Chicken Effa Dajaj (),Sides,Non-Veg,150.0,sides,sides
73,Chicken Dejaj Honey Kebab,Starter,Non-Veg,150.0,starter,starter
74,Chicken Arabian Lollipop (8 PCS),Sides,Non-Veg,150.0,sides,sides
75,Chicken Moroccan Dejaj Meshwy,Sides,Non-Veg,150.0,sides,sides
76,Chicken Dejaj Irani Kebab (4 pcs),Starter,Non-Veg,150.0,starter,starter
77,Chicken Queso Stuffing Dejaj (7 pcs),Sides,Non-Veg,150.0,sides,sides
78,Chicken BBQ Biryani (Full),Biryani,Non-Veg,150.0,biryani,biryani
79,Mutton Raan Biryani,Biryani,Non-Veg,150.0,biryani,biryani
80,BBQ Chicken 4 in 1 Combo,Sides,Non-Veg,150.0,sides,sides
