order_item_id,order_id,item_id,quantity,unit_price,line_total
1,1,2598,1,150.0,150.0
2,1,2474,1,150.0,150.0
3,2,1042,1,150.0,150.0
4,3,910,1,150.0,150.0
5,3,96,1,150.0,150.0
6,4,2901,1,150.0,150.0
7,4,402,1,150.0,150.0
8,5,225,1,150.0,150.0
9,5,426,1,150.0,150.0
10,5,2452,1,150.0,150.0
11,6,115,1,150.0,150.0
12,6,2138,2,150.0,300.0
13,7,1130,1,150.0,150.0
14,8,1330,2,150.0,300.0
15,8,2376,1,150.0,150.0
16,9,1154,1,150.0,150.0
17,10,1282,1,150.0,150.0
18,10,3437,1,150.0,150.0
19,11,1315,1,150.0,150.0
20,11,1171,1,150.0,150.0
21,12,3450,2,150.0,300.0
22,13,1002,1,150.0,150.0
23,13,2842,1,150.0,150.0
24,14,2064,2,150.0,300.0
25,14,2631,1,150.0,150.0
26,14,2753,1,150.0,150.0
27,15,892,1,150.0,150.0
28,16,1275,1,150.0,150.0
29,16,2612,1,150.0,150.0
30,17,2353,1,150.0,150.0
31,17,2493,1,150.0,150.0
32,17,1158,1,150.0,150.0
33,18,2381,1,150.0,150.0
34,18,1185,2,150.0,300.0
35,19,2364,1,150.0,150.0
36,19,3366,2,150.0,300.0
37,19,3010,1,150.0,150.0
38,19,329,1,150.0,150.0
39,20,1993,1,150.0,150.0
40,20,2641,2,150.0,300.0
41,20,3794,1,150.0,150.0
42,21,1032,1,150.0,150.0
43,21,2985,1,150.0,150.0
44,22,442,1,150.0,150.0
45,22,3894,1,150.0,150.0
46,22,4031,1,150.0,150.0
47,23,2671,1,150.0,150.0
48,23,936,1,150.0,150.0
49,24,302,1,150.0,150.0
50,24,2006,2,150.0,300.0
51,25,3813,1,150.0,150.0
52,25,4045,1,150.0,150.0
53,26,381,1,150.0,150.0
54,26,2178,1,150.0,150.0
55,26,383,2,150.0,300.0
56,27,1068,1,150.0,150.0
57,27,2946,1,150.0,150.0
58,27,4076,1,150.0,150.0
59,28,593,1,150.0,150.0
60,28,474,1,150.0,150.0
61,28,4130,1,150.0,150.0
62,29,3125,2,150.0,300.0
63,29,2198,1,150.0,150.0
64,29,3069,1,150.0,150.0
65,30,2437,1,150.0,150.0
66,30,996,1,150.0,150.0
67,31,1257,1,150.0,150.0
68,31,320,1,150.0,150.0
69,32,326,1,150.0,150.0
70,32,3875,1,150.0,150.0
71,33,3366,1,150.0,150.0
72,34,141,1,150.0,150.0
73,34,1221,1,150.0,150.0
74,35,2113,1,150.0,150.0
75,35,2975,1,150.0,150.0
76,36,1587,1,150.0,150.0
77,37,4187,1,150.0,150.0
78,38,1065,1,150.0,150.0
79,38,2776,1,150.0,150.0
80,39,2399,1,150.0,150.0
81,39,418,1,150.0,150.0
82,40,1081,1,150.0,150.0
83,41,1836,1,150.0,150.0
84,42,2140,1,150.0,150.0
85,43,2671,1,150.0,150.0
86,43,933,1,150.0,150.0
87,44,990,1,150.0,150.0
88,45,2672,1,150.0,150.0
89,46,2641,1,150.0,150.0
90,46,2200,2,150.0,300.0
91,46,3885,1,150.0,150.0
92,47,3424,1,150.0,150.0
93,47,923,2,150.0,300.0
94,48,372,1,150.0,150.0
95,48,1796,1,150.0,150.0
96,49,3232,2,150.0,300.0
97,49,3439,1,150.0,150.0
98,49,2981,1,150.0,150.0
99,50,3407,1,150.0,150.0
100,50,827,1,150.0,150.0
101,51,1081,2,150.0,300.0
102,51,2210,1,150.0,150.0
103,52,1396,1,150.0,150.0
104,53,3463,1,150.0,150.0
105,54,1334,1,150.0,150.0
106,55,2761,1,150.0,150.0
107,55,410,1,150.0,150.0
108,56,1559,1,150.0,150.0
109,56,434,1,150.0,150.0
110,56,2486,1,150.0,150.0
111,57,3883,1,150.0,150.0
112,57,1260,1,150.0,150.0
113,58,2452,1,150.0,150.0
114,59,1507,2,150.0,300.0
115,60,2735,1,150.0,150.0
116,61,1677,2,150.0,300.0
117,61,1124,2,150.0,300.0
118,62,1546,1,150.0,150.0
119,63,1933,1,150.0,150.0
120,63,3005,2,150.0,300.0
