order_id,customer_id,restaurant_id,order_date,order_time_slot,veg_season_tag,is_veg_order,item_count,gross_amount,discount_pct,discount_amount,delivery_fee,final_amount,delivery_time_min,rating_given
1,343,6,2024-01-01,Night,Regular,1,2,300.0,15.0,45.0,30.0,285.0,22.5,4.0
2,289,2,2024-01-01,Afternoon,Regular,1,1,150.0,0.0,0.0,30.0,180.0,22.4,4.0
3,146,3,2024-01-01,Evening,Regular,0,2,300.0,20.0,60.0,30.0,270.0,23.6,5.0
4,136,2,2024-01-01,Evening,Regular,0,2,300.0,0.0,0.0,30.0,330.0,44.1,5.0
5,259,8,2024-01-01,Evening,Regular,1,3,450.0,15.0,67.5,0.0,382.5,42.3,4.0
6,380,8,2024-01-01,Evening,Regular,0,2,450.0,20.0,90.0,0.0,360.0,39.1,5.0
7,299,9,2024-01-01,Evening,Regular,1,1,150.0,20.0,30.0,30.0,150.0,54.0,3.0
8,184,4,2024-01-01,Night,Regular,0,2,450.0,20.0,90.0,0.0,360.0,28.3,4.0
9,410,3,2024-01-01,Evening,Regular,0,1,150.0,0.0,0.0,30.0,180.0,43.4,5.0
10,128,5,2024-01-01,Evening,Regular,1,2,300.0,0.0,0.0,30.0,330.0,52.1,4.0
11,421,4,2024-01-01,Night,Regular,1,2,300.0,15.0,45.0,30.0,285.0,32.3,5.0
12,348,9,2024-01-01,Evening,Regular,1,1,300.0,0.0,0.0,30.0,330.0,53.7,4.0
13,56,10,2024-01-01,Evening,Regular,0,2,300.0,0.0,0.0,30.0,330.0,40.2,4.0
14,363,7,2024-01-01,Morning,Regular,1,3,600.0,0.0,0.0,0.0,600.0,53.2,5.0
15,320,6,2024-01-01,Night,Regular,0,1,150.0,10.0,15.0,30.0,165.0,31.4,5.0
16,284,3,2024-01-01,Afternoon,Regular,1,2,300.0,0.0,0.0,30.0,330.0,34.2,5.0
17,156,5,2024-01-01,Afternoon,Regular,1,3,450.0,0.0,0.0,0.0,450.0,51.5,5.0
18,87,2,2024-01-01,Morning,Regular,1,2,450.0,0.0,0.0,0.0,450.0,30.9,5.0
19,76,1,2024-01-01,Evening,Regular,1,4,750.0,0.0,0.0,0.0,750.0,34.0,4.0
20,353,1,2024-01-01,Afternoon,Regular,0,3,600.0,0.0,0.0,0.0,600.0,28.7,5.0
21,234,3,2024-01-01,Afternoon,Regular,0,2,300.0,0.0,0.0,30.0,330.0,49.1,5.0
22,82,8,2024-01-01,Morning,Regular,0,3,450.0,0.0,0.0,0.0,450.0,31.2,5.0
